# Simulation 13 (Up to date)
# 713 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
11.439,4376.9,224.01,-36.297
11.489,4388,222.2,-36.275
11.539,4399.1,220.38,-36.215
11.589,4410.1,218.57,-36.171
11.639,4420.9,216.77,-36.114
11.689,4431.7,214.96,-36.082
11.739,4442.4,213.16,-36.157
11.789,4453.1,211.35,-36.155
11.839,4463.6,209.54,-36.095
11.889,4474,207.74,-36.049
11.939,4484.3,205.94,-35.843
11.989,4494.6,204.15,-35.707
12.039,4504.8,202.37,-35.672
12.089,4514.8,200.59,-35.56
12.139,4524.8,198.81,-35.44
12.189,4534.7,197.04,-35.324
12.239,4544.5,195.28,-35.106
12.289,4554.2,193.53,-35.006
12.339,4563.9,191.78,-34.914
12.389,4573.4,190.04,-34.868
12.439,4582.9,188.3,-34.796
12.489,4592.3,186.56,-34.794
12.539,4601.5,184.82,-34.826
12.589,4610.7,183.07,-34.9
12.639,4619.8,181.33,-34.926
12.689,4628.9,179.58,-34.921
12.739,4637.8,177.83,-34.945
12.789,4646.7,176.09,-34.948
12.839,4655.4,174.34,-34.95
12.889,4664.1,172.59,-34.949
12.939,4672.7,170.84,-34.927
12.989,4681.2,169.1,-34.91
13.039,4689.6,167.36,-34.747
13.089,4697.9,165.62,-34.558
13.139,4706.1,163.9,-34.346
13.189,4714.3,162.19,-34.16
13.239,4722.4,160.48,-34.113
13.289,4730.3,158.78,-34.038
13.339,4738.2,157.08,-33.988
13.389,4746.1,155.38,-33.981
13.439,4753.8,153.68,-33.965
13.489,4761.4,151.98,-33.961
13.539,4769,150.28,-33.965
13.589,4776.4,148.59,-33.951
13.639,4783.8,146.89,-33.928
13.689,4791.1,145.19,-33.896
13.739,4798.4,143.5,-33.823
13.789,4805.5,141.81,-33.783
13.839,4812.5,140.12,-33.726
13.889,4819.5,138.44,-33.697
13.939,4826.4,136.75,-33.608
13.989,4833.2,135.08,-33.535
14.039,4839.9,133.4,-33.509
14.089,4846.5,131.72,-33.498
14.139,4853.1,130.05,-33.525
14.189,4859.5,128.37,-33.499
14.239,4865.9,126.7,-33.514
14.289,4872.2,125.02,-33.545
14.339,4878.4,123.35,-33.477
14.389,4884.5,121.67,-33.454
14.439,4890.6,120,-33.396
14.489,4896.5,118.33,-33.367
14.539,4902.4,116.67,-33.313
14.589,4908.2,115,-33.202
14.639,4913.9,113.34,-33.136
14.689,4919.5,111.69,-33.17
14.739,4925.1,110.03,-33.155
14.789,4930.5,108.37,-33.155
14.839,4935.9,106.71,-33.22
14.889,4941.2,105.05,-33.257
14.939,4946.4,103.39,-33.214
14.989,4951.5,101.73,-33.127
15.039,4956.6,100.07,-33.024
15.089,4961.5,98.425,-32.963
15.139,4966.4,96.778,-32.935
15.189,4971.2,95.132,-32.897
15.239,4975.9,93.488,-32.879
15.289,4980.6,91.845,-32.841
15.339,4985.1,90.205,-32.737
15.389,4989.6,88.569,-32.726
15.439,4994,86.933,-32.691
15.489,4998.3,85.3,-32.655
15.539,5002.5,83.668,-32.602
15.589,5006.7,82.04,-32.523
15.639,5010.7,80.415,-32.462
15.689,5014.7,78.793,-32.436
15.739,5018.6,77.173,-32.366
15.789,5022.4,75.556,-32.308
15.839,5026.1,73.941,-32.307
15.889,5029.8,72.325,-32.317
15.939,5033.4,70.711,-32.258
15.989,5036.9,69.099,-32.226
16.039,5040.3,67.488,-32.221
16.089,5043.6,65.879,-32.121
16.139,5046.9,64.274,-32.069
16.189,5050.1,62.671,-32.045
16.239,5053.1,61.07,-32.018
16.289,5056.2,59.468,-32.073
16.339,5059.1,57.864,-32.049
16.389,5061.9,56.263,-32.001
16.439,5064.7,54.663,-32.027
16.489,5067.4,53.06,-32.06
16.539,5070,51.459,-31.986
16.589,5072.6,49.86,-31.965
16.639,5075,48.263,-31.926
16.689,5077.4,46.669,-31.842
16.739,5079.7,45.078,-31.811
16.789,5081.9,43.486,-31.864
16.839,5084,41.894,-31.797
16.889,5086.1,40.305,-31.782
16.939,5088.1,38.715,-31.827
16.989,5090,37.124,-31.801
17.039,5091.8,35.534,-31.788
17.089,5093.5,33.945,-31.794
17.139,5095.2,32.353,-31.862
17.189,5096.7,30.76,-31.876
17.239,5098.2,29.167,-31.8
17.289,5099.7,27.579,-31.723
17.339,5101,25.995,-31.662
17.389,5102.3,24.414,-31.576
17.439,5103.4,22.837,-31.505
17.489,5104.5,21.264,-31.405
17.539,5105.6,19.696,-31.334
17.589,5106.5,18.131,-31.266
17.639,5107.4,16.57,-31.171
17.689,5108.2,15.013,-31.081
17.739,5108.9,13.462,-30.983
17.789,5109.5,11.915,-30.88
17.839,5110.1,10.374,-30.745
17.889,5110.6,8.8404,-30.618
17.939,5111,7.3122,-30.514
17.989,5111.3,5.7883,-30.446
18.039,5111.5,4.2685,-30.339
18.089,5111.7,2.754,-30.245
18.139,5111.8,1.2431,-30.199
18.189,5111.8,-0.26521,-30.124
# Event APOGEE occurred at t=18.239 seconds
18.239,5111.8,-1.7684,-29.997
